序1 :A03583:藉:借:藉:一簡對多
序434 :B03997:蒔:莳:蒔:一對未知:G2-04429:蒔:莳:無異體
序436 :A03529:萵:莴:萵:一簡對一:G2-04430:萵:莴:無異體
序438 ::::::G3-06953:薟:莶:無異體
序439 :A02543:獲:获:獲:一簡對多:G1-01827:獲:获:無異體:G1-01827:获:穫:無異體
序440 :A02951:穫:获:穫:一簡對多:G1-01827:獲:获:無異體:G1-01827:获:穫:無異體
序442 :B04081:蕕:莸:蕕:一對未知:G2-04439:蕕:莸:無異體
序444 :A02598:瑩:莹:瑩:一簡對一:G1-01830:瑩:莹:無異體
序446 :A04739:鶯:莺:鶯:一簡對一:G1-01831:鶯:莺:鸎
序448 :B04028:蓴:莼:蓴:一對未知:G2-04446:蒓:莼:蓴
序450 :A03485:莽:莽:佔格:一簡對一:G1-01821:無繁體:莽:無異體
序452 ::::::G3-06955:藭:䓖:無異體
序453 ::::::G3-06794:無繁體:𦰡:無異體
序454 ::::::G3-06951:䓣:𬜯:無異體
序455 ::::::G3-06792:無繁體:荓:無異體
序456 :B03904:莿:莿:無相關對應:一對未知:G3-07123:無繁體:莿:無異體
序458 :B03891:菀:菀:無相關對應:一對未知:G2-04766:無繁體:菀:無異體
序460 :A03502:菁:菁:佔格:一簡對一:G2-04746:無繁體:菁:無異體
序462 :B03923:菂:菂:無相關對應:一對未知:G3-07128:無繁體:菂:無異體
序464 :A03500:菅:菅:佔格:一簡對一:G2-04765:無繁體:菅:無異體
序466 :B03900:菆:菆:無相關對應:一對未知
序467 :B03927:菇:菇:無相關對應:一對未知:G1-02218:無繁體:菇:無異體
序469 :B03901:菈:菈:無相關對應:一對未知
序470 :B03915:菉:菉:無相關對應:一對未知:G3-07133:無繁體:菉:無異體
序472 :A03513:菊:菊:佔格:一簡對一:G1-02209:無繁體:菊:無異體
序474 :B03911:菋:菋:無相關對應:一對未知
序475 :A03510:菌:菌:佔格:一簡對一:G1-02205:無繁體:菌:無異體
序477 ::::::G3-07129:無繁體:菍:無異體
序478 :B03912:菎:菎:無相關對應:一對未知
序479 :B03888:菏:菏:無相關對應:一對未知:G2-04762:無繁體:菏:無異體
序481 :B03928:菑:菑:無相關對應:一對未知
