序1 :B02017:汍:丸:汍:一對未知
序614 :A02323:滲:渗:滲:一簡對一:G1-02437:滲:渗:無異體
序616 :A02237:渚:渚:佔格:一簡對一:G2-04964:無繁體:渚:無異體
序618 :B02131:湴:湴:無相關對應:一對未知:G3-07239:無繁體:湴:無異體
序620 ::::::G3-07234:漍:𬇹:無異體
序621 :B02179:渃:渃:無相關對應:一對未知
序622 :B02171:渜:渜:無相關對應:一對未知
序623 :A02272:渝:渝:佔格:一簡對一:G1-02763:無繁體:渝:無異體
序625 :B02158:渟:渟:無相關對應:一對未知:G3-07432:無繁體:渟:無異體
序627 :A02255:渠:渠:佔格:一簡對一:G1-02416:無繁體:渠:無異體
序629 :A02251:渡:渡:佔格:一簡對一:G1-02765:無繁體:渡:無異體
序631 :B02193:渢:渢:無相關對應:一對未知
